vigencia,ID_acuerdo,fec_sanc,titulo,articulado,tema,alcalde,pre_concejo,estado_acuerdo,obs_vigencia
2014,AD-019-2014,2014-11-05,"Por el cual se autoriza al alcalde de cartagena de indias d.t.y.c. para la constitucion de una sociedad de economía mixta por acciones para que promueva, gestione e impulse la construcción y funcionamiento de una central de abastecimiento mayorista y minorista de la ciudad y se dictan otras disposiciones",7,Gestion administrativa,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Derogado,Derogado por el acuerdo 195 de 2025
2014,AD-020-2014,2014-11-05,"Por el cual se concede autorizacion al alcalde distrital de cartagena de indias, para efectuar cesion gratuita de un inmueble a la fiscalia general de la nacion para la construccion de la unidad de reaccion inmediata uri",2,Cesion de predios o bienes,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Derogado,Derogado por el acuerdo 195 de 2025
2014,AD-021-2014,2014-12-04,"Mediante el cual se crea e institucionaliza en el distrito de cartagena de indias el mes de la prevención de cancer de cervix, mama y prostata",4,Salud,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Vigente,No aplica
2014,AD-022-2014,2014-12-10,Por medio del cual se cambia el nombre de la calle fulgencio lequerica velez del barrio olaya herrera sector estela por el nombre de rodrigo rocky valdez y se designa a la carrera 65 del barrio blas de lezo el nombre de ernesto jiqui redondo guerrero,3,gestion de bienes y patrimonio,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Vigente,No aplica
2014,AD-023-2014,2014-12-10,Por medio del cual se institucionaliza el pedregazo en el barrio getsemani,5,"Artes, patrimonio y cultura",Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Vigente,No aplica
2014,AD-025-2014,2014-12-12,"Por medio del cual efectúan unas incorporaciones y unos traslados presupuestales de la inversión entre distintas unidades ejecutoras, del distrito de cartagena de indias de la vigencia fiscal 2014",5,Finanzas Publicas,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Derogado,Derogado por el acuerdo 195 de 2025
2014,AD-026-2014,2014-12-16,"Por el cual se autoriza al alcalde mayor de cartagena de indias, para celebrar contrato de comodato de un bien inmueble, con la junta de accion comunal de la urbanizacion villas de la candelaria de la ciudad de cartagena de indias",2,Gestion contractual,Roberto Barrios Martinez,Vicente Antonio Blel Scaff,Derogado,Derogado por el acuerdo 195 de 2025
2014,AD-027-2014,2014-12-16,"Por el cual se aprueba el presupuesto de rentas, recursos de capital y recursos de fondos especiales; apropiaciones de funcionamiento y de servicio de la deuda del distrito de cartagena de indias para la vigencia fiscal de 2015",87,Finanzas Publicas,Roberto Barrios Martinez,Vicente Antonio Blel Scaff,Derogado,Derogado por el acuerdo 195 de 2025
2014,AD-028-2014,2014-12-16,Por el cual se autoriza al alcalde mayor de cartagena de indias para comprometer vigencias futuras excepcionales para gastos de inversion en la vigencia fiscal 2015,5,Vigencias futuras,Roberto Barrios Martinez,Vicente Antonio Blel Scaff,Derogado,Derogado por el acuerdo 195 de 2025
2014,AD-029-2014,2014-12-23,Por medio del cual se institucionaliza las fechas 20 de enero como concertación para la no violencia de la mujer residente y de paso en el distrito cartagena de indias el 25 de noviembre como la celebración del día de la no violencia de las mujeres residentes y de paso en el distrito de cartagena de indias,5,Convivencia,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Vigente,No aplica
2015,AD-001-2015,2015-01-05,Por medio del cual se crea el fondo territorial de seguridad y convivencia ciudadana fonset en el distrito de cartagena y se dictan otras disposiciones,10,Seguridad,Dionisio Fernando Velez Trujillo,Vicente Antonio Blel Scaff,Derogado,Derogado por el acuerdo 195 de 2025
2015,AD-002-2015,2015-04-22,"Por el cual se establece en el distrito el procedimiento para la conciliación contencioso administrativa tributaria, la terminación por mutuo acuerdo de los procesos administrativos tributarios y la condición especial para el pago de impuestos contenidos en los artículos 55, 56 y 57 de la ley 1739 de 2014",13,Gestion administrativa,Dionisio Fernando Velez Trujillo,David Dager Lequerica,Derogado,Derogado por el acuerdo 195 de 2025
2015,AD-003-2015,2015-05-11,Por medio del cual se autoriza al alcalde mayor de cartagena de indias para dar cumplimiento a los compromisos contenido dentro del conpes 3823 de 2014 comprometiendo vigencias futuras excepcionales con cargo al presupuesto de las vigencias fiscales 2016 a 2020 con recursos de la sobretasa a la gasolina y se dictan otras disposiciones,3,Vigencias futuras,Dionisio Fernando Velez Trujillo,David Dager Lequerica,Derogado,Derogado por el acuerdo 195 de 2025
2015,AD-004-2015,2015-05-11,Por medio del cual se efectua una incorporacion en el presupuesto de la vigencia fiscal 2015,3,Finanzas Publicas,Dionisio Fernando Velez Trujillo,David Dager Lequerica,Derogado,Derogado por el acuerdo 195 de 2025
2015,AD-005-2015,2015-05-25,Por medio del cual se establece la implementación del plan para la prevención monitoreo y control del caracol gigante africano achatina fulica y el pez leon pterois antennata en el distrito de cartagena,3,Ambiente,Dionisio Fernando Velez Trujillo,David Dager Lequerica,Vigente,No aplica
2015,AD-006-2015,2015-05-25,Por el cual se toman medidas para disminuir la contaminacion auditiva en el distrito de cartagena de indias d t y c,2,Ambiente,Dionisio Fernando Velez Trujillo,David Dager Lequerica,Vigente,No aplica
2015,AD-007-2015,2015-05-25,"Por medio del cual se modifica el acuerdo no 013 de 2014 por medio del cual se hace seguimiento a los procesos de ejecución, recibo e inauguración de obras públicas en el distrito de cartagena",2,infraestructura y obras publicas,Dionisio Fernando Velez Trujillo,David Dager Lequerica,Vigente,No aplica
2015,AD-008-2015,2015-06-22,Por medio del cual se efectua unos traslados en el presupuesto del distrito turistico y cultural de cartagena de indias vigencia fiscal 2015,2,Finanzas Publicas,Carlos Granadillo Vasquez,David Dager Lequerica,Derogado,Derogado por el acuerdo 195 de 2025
2015,AD-009-2015,2015-06-25,Por el cual se establece una política pública para la prevención y atención de las violencias sexuales que afectan a la ciudadanía principalmente a niñas niños y adolescentes de la ciudad de cartagena de indias,11,Salud,Dionisio Fernando Velez Trujillo,David Dager Lequerica,Vigente,No aplica
2015,AD-010-2015,2015-08-18,Por el cual se crea el programa de cartagena ciudad historica de grandes eventos y produccion de contenidos,10,"Artes, patrimonio y cultura",Roberto Barrios Martinez,David Dager Lequerica,Vigente,No aplica
2015,AD-011-2015,2015-08-18,Por el cual se crea conforma se fijan sus funciones y se dictan reglas para la organización y el funcionamiento de la comisión distrital de ordenamiento territorial del distrito turistico y cultural de cartagena de indias,18,Gobernanza urbana,Roberto Barrios Martinez,David Dager Lequerica,Vigente,No aplica
2015,AD-012-2015,2015-08-18,Por el cual se crea el frente de control social a los servicios publicos de cartagena,5,Participacion,Roberto Barrios Martinez,David Dager Lequerica,Vigente,No aplica
2015,AD-013-2015,2015-08-18,Por medio del cual se efectua una incorporacion en el presupuesto de la vigencia fiscal 2015,5,Finanzas Publicas,Roberto Barrios Martinez,David Dager Lequerica,Derogado,Derogado por el acuerdo 195 de 2025
2015,AD-014-2015,2015-08-24,Por medio del cual se crea la comision de estudio seguimiento evaluacion y proyeccion del cerro de la popa,5,Gestion administrativa,Dionisio Fernando Velez Trujillo,David Dager Lequerica,Vigente,No aplica
2015,AD-015-2015,2015-09-02,Por medio del cual se ratifica la adopcion del escudo republicano como simbolo patrio de cartagena de indias,7,"Artes, patrimonio y cultura",Dionisio Fernando Velez Trujillo,David Dager Lequerica,Vigente,No aplica
2015,AD-016-2015,2015-09-15,Por el cual se reglamenta los casos en que se hace necesario la aprobacion y autorizacion del concejo distrital para la realizacion de concesiones por parte de la alcaldia distrital cartagena y otras disposiciones,5,Gestion contractual,Dionisio Fernando Velez Trujillo,David Dager Lequerica,Vigente,No aplica
2015,AD-017-2015,2015-10-27,Por medio del cual se efectua una incorporacion y unos traslados presupuestales en el presupuesto de la vigencia fiscal 2015,5,Finanzas Publicas,Dionisio Fernando Velez Trujillo,David Dager Lequerica,Derogado,Derogado por el acuerdo 195 de 2025
2015,AD-018-2015,2015-10-29,Por el cual se modifica parcialmente el acuerdo no 018 de 2003 actualizado y concordado con los acuerdos no 031 de diciembre 29 de 2005 y el 042 de diciembre 21 de 2006 conforme a la ley 1551 de 2012,2,Organos de control,Carlos Coronado Yances,David Dager Lequerica,Derogado,Derogado por el acuerdo 195 de 2025
2015,AD-019-2015,2015-11-25,Por el cual se fijan las tarifas por concepto de derechos de tránsito y demás servicios que presta el departamento administrativo de transportes y tránsito distrital de cartagena,8,movilidad,Dionisio Fernando Velez Trujillo,William Lopez Camacho,Vigente,No aplica
2015,AD-020-2015,2015-11-27,"Por el cual se modifica parcialmente el acuerdo no. 018 de 2003, actualizado y concordado con los acuerdos no. 031 de diciembre 29 de 2005 y el 042 de diciembre 21 de 2006, conforme al acto legislativo 02 de 1 de julio de 2015",2,Organos de control,Carlos Granadillo Vasquez,David Dager Lequerica,Derogado,Derogado por el acuerdo 002 de 2018
2015,AD-021-2015,2015-11-30,Por el cual se autoriza al alcalde mayor de cartagena celebrar un otrosi al contrato n° 9-1333889 de octubre 27 df 1998 celebrado entre la union temporal ingenieria suninistros y montajes ism s a electroconstrucciones ltda hoy ecosodio s.a- electro contrucciones ltda,4,Gestion contractual,Dionisio Fernando Velez Trujillo,David Dager Lequerica,Derogado,Derogado por el acuerdo 195 de 2025
2015,AD-022-2015,2015-11-30,Por medio del cual se conceden facultades al alcalde mayor de cartagena de indias dt y c para crear una entidad sin animo de lucro de carácter mixto conforme a lo establecido en el articulo 96 de la ley 489 de 1998 y se establecen otras disposiciones especiales,7,Gestion administrativa,Dionisio Fernando Velez Trujillo,David Dager Lequerica,Derogado,Derogado por el acuerdo 195 de 2025
2015,AD-023-2015,2015-12-07,Por medio del cual se establece la prevención de actos de erotización temprana o de cualquier acto que afecte la debida formación general de derecho sexual y reproductivo de los niños y niñas en el distrito turistico y cultural de cartagena de indias y sus corregimientos,8,Comportamiento ciudadano,Dionisio Fernando Velez Trujillo,David Dager Lequerica,Vigente,No aplica
